name,r_p,gain,cover_call,opponent
"18 06 HARVARD DEF vs PRINCETON O, Play 032",R,2,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 033",R,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 034",P,0,CLOUD,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 035",R,2,CLOUD,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 036",P,5,SKY,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 037",P,11,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 038",P,0,WEASEL,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 039",P,12,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 040",R,3,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 041",P,0,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 042",P,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 043",R,4,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 044",R,1,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 045",P,7,SALUTE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 047",P,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 048",P,-9,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 049",P,0,12,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 050",P,5,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 051",R,2,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 052",P,28,SALUTE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 053",R,0,DOME,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 054",R,1,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 055",R,-7,WEASEL,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 056",R,26,STRIPE,Princeton University
"18 06 HARVARD DEF vs PRINCETON O, Play 057",P,0,DOME,Princeton University
